Description,Synonyms
leptin receptor measurement,[]
Circulating myeloperoxidase levels (plasma),[]
Cervical cancer,"['carcinoma uterine cervix', 'uterine cervix carcinoma', 'carcinoma;cervix', 'carcinoma cervical', 'cervical carcinoma (uterus)', 'cancer of the uterine cervix', 'uterine cervical cancers', 'carcinoma of the cervix uteri', 'carcinoma of the uterine cervix', 'collum carcinoma', 'ca cervix', 'cervical carcinoma nos', 'cervical carcinoma', 'cancers, uterine cervical', 'carcinoma of cervix uteri', 'cancer, cervix', 'cervix carcinoma', 'cervical cancer, nos', 'cervical cancers, uterine', 'cervix uteri carcinoma', 'carcinoma of the cervix', 'ca cervix uteri nos', 'carcinoma cervix', 'uterine cervix, carcinoma', 'cervical cancer, uterine', 'cervical cancer', 'carcinoma of cervix (diagnosis)', 'carcinoma cervix uterine', 'cervical ca', 'carcinoma of uterine cervix', 'cancer of cervix', 'ca cervix uteri nos (disorder)', 'uterine cervix cancer', 'carcinoma of cervix <invasive>', 'carcinoma of cervix', 'carcinoma cervix uteri', 'cancers, cervix', 'cervix cancer', 'uterine cervical cancer', 'cancer, uterine cervical', 'cervix uteri cancer', 'carcinoma of cervix invasive', 'carcinoma of cervix (disorder)', 'carcinoma uterine cerix', 'cancer of the cervix', 'cancer of uterine cervix', 'nci ctep sdc cervical cancer sub-category terminology', 'cervical cancer', 'nci ctep simple disease classification cervical cancer sub-category terminology', 'malignant uterine cervix tumor', 'mal neo cervix uteri nos', 'malignant tumor of the cervix', 'neoplasm malig;cervix', 'malig neop cervix uteri', 'malignant neoplasm of cervix (diagnosis)', 'malignant tumor of cervix uteri', 'malignant neoplasm of uterine cervix', 'malignant cervix uteri neoplasm', 'ca cervix', 'malignant neoplasm of cervix uteri, unspecified', 'cervix uteri, unspecified', 'malignant neoplasm of cervix uteri nos', 'malignant tumor of cervix', 'malignant neoplasm of the cervix', 'malignant neosplasm of the cervix', 'malignant neoplasm cervix', 'malignant tumor of the uterine cervix', 'malignant neoplasm of cervix', 'malignant cervix uteri tumor', 'malignant cervical tumor', 'cervical cancers', 'malignant neoplasm of cervix uteri, unspecified site', 'cervical cancer (diagnosis)', 'malignant tumor of cervix (disorder)', 'cervical cancer', 'cervical neoplasm malignant cervix uteri', 'malignant neoplasm of cervix uteri nos (disorder)', 'malignant uterine cervix neoplasm', 'malignant neoplasm of the uterine cervix', 'malignant tumor of uterine cervix', 'malignant tumour of cervix', 'cervical ca', 'cancer of cervix', 'uterine cervix cancer', 'malignant neoplasm of cervix uteri', 'malignant tumor of the cervix uteri', 'cervix cancer', 'malignant neoplasm of cervix uteri (diagnosis)', 'malignant cervix neoplasm', 'malignant cervix tumor', 'cervix neoplasms malignant', 'malignant tumour of cervix (disorder)', 'malignant neoplasm of the cervix uteri', 'malignant cervical neoplasm', 'malig neop cervix uteri nos', 'cancer of the cervix']"
Glomerulosclerosis,"['glomerulosclerosis', 'mpv17', 'mpv17 gene', 'sym1', 'mpv17 mitochondrial inner membrane protein', 'mpv17, mouse, homolog of', 'glomeruloscleroses', 'glomerulosclerosis', 'glomerulosclerosis nos', 'glomerulosclerosis;', 'glomerulosclerosis, nos', 'glomerulosclerosis (diagnosis)', 'glomerulosclerosis (morphologic abnormality)', 'glomerulosclerosis (m-53300)', 'glomerular sclerosis', 'glomerulosclerosis (disorder)']"
MRI atrophy measures,[]
hematocrit,"['hematocrit', 'haematocrit', 'finding of hematocrit (finding)', 'hematocrit - finding', 'haematocrit - finding', 'hematocrit (hct)', 'hct - hematocrit', 'hematocrit level', 'finding of hematocrit', 'hematocrit levels', 'hct - haematocrit', 'finding of haematocrit', 'hematocrits', 'hematocrit - pcv - nos (procedure)', 'packed erythrocyte volumes', 'packed cell volume measurement (procedure)', 'erythrocyte volume, packed', 'volume, packed red-cell', 'hematocrit determination', 'hct - hematocrit', 'hematocrit (lab test)', 'whole blood hematocrit test', 'haematocrit (observable entity)', 'hematocrit', 'hct', 'pcv', 'haematocrit - pcv - nos (procedure)', 'haematocrit (procedure)', 'packed erythrocyte volume', 'hematocrit - pcv', 'blood count hematocrit', 'hematocrit - pcv - nos', 'hematocrit measurement', 'volumes, packed erythrocyte', 'red-cell volume, packed', 'haematocrit - pcv - nos', 'packed red cell volume', 'hematocrit procedure', 'hct - haematocrit', 'erythrocyte volumes, packed', 'haematocrit', 'hematocrit determination (procedure)', 'haematocrit determination', 'packed cell volume', 'volumes, packed red-cell', 'packed cell volume measurement', 'haematocrit - pcv', 'volume, packed erythrocyte', 'packed red-cell volume', 'measurement of hematocrit (hct)', 'packed cell volume (observable entity)', 'red-cell volumes, packed', 'packed red-cell volumes', 'hematocrit level test', 'blood count; hematocrit (hct)', 'hematocrit', 'hematocrit attribute']"
Urinary albumin excretion,[]
type i diabetes mellitus,"['diabetes mellitus, growth onset type', 'insulin dependent diabetes', 'mellitus, sudden-onset diabetes', 'diabetes;insulin dependent', 'diabetes mellitus, type i', 'diabetes; juvenile-onset', 'diabetes;juvenile onset', 'diabetes mellitus insulin-dependent', 'idd', 'juvenile-onset diabetes mellitus', 'insulin dependent diabetes mel', 'insulin depend diabetes mellit', 'diabetes, juvenile-onset', 'juvenile onset diabet mellitis', 'diabetes; type i', 'diabetes type i', 'juvenile onset diabetes', 'diabetes mellitus type 01', 'diabetes mellitus, juvenile-onset', 'diabetes;type 1', 'diabetes mellitus, type 1 [disease/finding]', 'insulin dependent diabetes mellitus', 'sudden-onset diabetes mellitus', 'diabetes mellitus, sudden onset', 'diabetes mellitus, ketosis prone', 'type i diabetes mellitus', 'juvenile diabetes', 'ketosis, prone; diabetes', 'insulin-dependent diabetes mellitus', 'jodm', 'ketosis prone diabetes', 'ketosis-prone diabetes (mellitus)', 'insulin-dependent diabetes mellitus 1', 'diabetes mellitus: [juvenile] or [insulin dependent] (disorder)', 'diabetes mellitus juvenile onset', 'iddm - insulin-dependent diabetes mellitus', 'brittle diabetes (mellitus)', 'diabetes mellitus type 1', 'insulin dependent diabetic', 'diabetes; ketosis-prone', 'type 1 diabetes', 'type 1 diabetes mellitus', 'juvenile onset diabetes (mellitus)', 'diabetes mellitus insulin dependent', 'iddm', 'insulin-depend diabet mellitus', 'diabetes mellitus: [juvenile] or [insulin dependent]', 'insulin-dependent; diabetes', 'diabetes mellitus, ketosis-prone', 'diabetes mellitus, sudden-onset', 'diabetes mellitus, insulin dependent', 'ketosis-prone diabetes mellitus', 'type i diabetes mellitus (diagnosis)', 'juvenile onset of diabetes', 'diabetes mellitus type i', 'diabetes, type i', 'juvenile onset diabetes mellitus', 'jod', 'type i diabetes mellitus (disorder)', 'diabetes mellitus, juvenile onset', 'iddm-insulin-depend diab mell', 'juvenile diabetes mellitus', 'diabetes mellitus (juvenile onset)', 'diabetes mellitus, type 1', 'brittle diabetes mellitus', 'diabetes mellitus, insulin-dependent, 1', 'diabetes type 1', 'diabetes insulin dependent', 'iddm1', 'insulin-dependent diabetes', 'type i; diabetes', 'diabetes mellitus, insulin-dependent', 'insulin dependent diabetes mellitus 1', 'kpd', 'juvenile-onset diabetes', 'type i diabetes', 'juvenile-onset; diabetes', 'diabetes mellitus, brittle', 'diabetes mellitus, juvenile onset type', 'diabetes; insulin-dependent', 'diabetes mellitus type 1 (disorder)', 'diabetes mellitus - juvenile', 'type i diabetes mellitus', 'type i diabetes mellitus pathway']"
partial thromboplastin time,"['activated partial thromboplastin time', 'aptt', 'activated partial thromboplastin time measurement', 'activated partial thromboplastin time (aptt) (lab test)', 'ptt', 'partial thromboplastin time activated', 'ptt, activated', 'plasma thromboplastin test', 'activated ptt', 'partial thromboplastin time', 'activated partial thromboplastin time (aptt) test', 'partial thromboplastin time, activated', 'aptt - activated partial thromboplastin time', 'partial thromboplastin time (ptt)', 'activated partial thromboplastin time (procedure)', 'thromboplastin time, partial', 'partial thromboplastin time (ptt) (lab test)', 'ptt assay', 'activated partial thromboplastin time (aptt)', 'partial thromboplastin time: ptt', 'ptt - partial thromboplastin time', 'partial thromboplastin time, activated (procedure)', 'partial thromboplastin time activated (procedure)']"
Rheumatoid arthritis,"['rheumatoid arthritis', 'rheumatoid arthritis (allelic variant)', 'rha - rheumatoid arthritis', 'rheumatoid arthritis nos', 'rheumatoid; arthritis', 'r arthritis', 'rheumatoid arthritis (diagnosis)', 'rheumatoid arthritis systemic', 'arthritis or polyarthritis, atrophic', 'proliferative arthritis', 'atrophic arthritis', 'arthritis rheumatoid', 'rheumatoid arthritis nos (disorder)', 'atrophic; arthritis', 'rheumatic gout', 'rheumatoid arthritis (disorder)', 'ra', 'arthritis or polyarthritis, rheumatic', 'chronic rheumatic arthritis', 'arthritis, rheumatoid [disease/finding]', 'rheumatoid arthritis, unspecified, site unspecified', 'arthritis, rheumatic', 'arthritis; rheumatoid', 'rheumatoid disease', 'rheumatoid arthritis', 'rheumatoid arthritis, susceptibility to', 'gout rheumatic', 'rh arthritis', 'ra (rheumatoid arthritis)', 'arthritis; atrophic', 'rheumatoid arthritis, unspecified', 'ra - rheumatoid arthritis', 'arthritis, rheumatoid', 'systemic rheumatoid arthritis']"
Endometriosis,"['displacement of the endometrial tissue', '765 endometrioses', 'endometriosis (clinical)', 'endometriosis (disorder)', 'endometriosis, site unspecified', 'endometriosis [disease/finding]', 'endometriosis (morphologic abnormality)', 'endometriosis', 'endometriosis, unspecified', 'endometriosis, nos', 'endometriosis nos (disorder)', 'endometrioses', 'endometriosis (diagnosis)', 'endometriosis -retired-', 'endometriosis nos', 'endo']"
Serum total protein level,"['serum total protein', 'protein serum total', 'serum total protein level', 'total serum protein', 'total protein serum', 'serum total protein level result', 'serum total protein test', 'serum total protein', 'measurement of total protein in serum', 'serum total protein measurement', 'serum total protein measurement (procedure)', 'serum total protein measurement (lab test)', 'serum total protein level', 'serum total protein (& level) (procedure)', 'serum protein total measurement', 'total serum protein measurement', 'serum total protein (& level)', 'total serum protein level']"
Abdominal aortic aneurysm,"['ever diagnosed by a doctor as having an abdominal aortic aneurysm', 'ever diagnosed by a doctor as having an abdominal aortic aneurysm:finding:point in time:^patient:nominal', 'ever diagnosed by a doctor as having an abdominal aortic aneurysm:find:pt:^patient:nom', 'abdominal aortic aneurysm', 'ever diagnosed by a doctor as having an abdominal aortic aneurysm:finding:point in time:^patient:ordinal', 'aaa-abdominal aortic aneurysm', 'aortic aneurysm, abdominal', 'aorta abdominal aneurysm', 'aneurysm; abdominal aorta', 'aorta abdominalis; aneurysm', 'aneurysm abdominal', 'aneurysm of abdominal aorta (diagnosis)', 'aaa (abdominal aortic aneurysm)', 'aneurysm, aorta, abdominal', 'aneurysm;abdominal aortic', 'aneurysms, abdominal aortic', 'abdominal aortic aneurysms', 'abdominal; aneurysm', 'abdominal aneurysm', 'abdominal aorta aneurysm', 'aneurysm, abdominal aortic', 'abdominal aneurysms', 'abdominal aortic aneurysm', 'aaa (abdominal aorta aneurysm)', 'abdominal aortic aneurysm (disorder)', 'aaa - abdominal aortic aneurysm', 'aaa', 'aneurysm; abdominal', 'aortic aneurysm, abdominal [disease/finding]', 'aortic aneurysms, abdominal', 'abdominal aortic aneurysm (aaa)', 'aneurysm of abdominal aorta']"
Age-related macular degeneration (wet),[]
Gastric cancer,"['malignant tumour of stomach (disorder)', 'malignant neoplasm of stomach, unspecified site', 'malignant neosplasm of the stomach', 'gastric cancer nos', 'cancer, gastric', 'malignant neoplasm of stomach (diagnosis)', 'cancers, gastric', 'malignant neoplasm stomach', 'cancer, stomach', 'malignant neoplasm of the stomach', 'gastric cancers', 'malignant neoplasm of stomach', 'ca stomach nos (disorder)', 'stomach, unspecified', 'cancers, stomach', 'malignant tumour of stomach', 'malignant neoplasm of stomach nos', 'stomach cancer', 'malignant tumor of stomach', 'malignant neoplasm of stomach, unspecified', 'malignant neoplasm of stomach, nos', 'gastric cancer (diagnosis)', 'gastric malignancy', 'malignant tumor of stomach (disorder)', 'ca stomach nos', 'neoplasm malig;stomach', 'malignant gastric neoplasm', 'gastric cancer', 'malignant gastric tumor', 'cancer of the stomach', 'stomach cancers', 'malig neopl stomach nos', 'stomach ca', 'stomach (gastric) cancer', 'malignant tumor of the stomach', 'ca - cancer of stomach', 'malignant neoplasm of stomach nos (disorder)', 'cancer of stomach', 'malignant neoplasm stomach nos', 'gastric cancer, carcinoma', 'carcinoma stomach', 'carcinoma of the stomach', 'cancer of stomach', 'carcinoma gastric', 'carcinoma of stomach (diagnosis)', 'carcinomas stomach', 'carcinoma;stomach', 'stomach carcinoma', 'gastric cancer', 'carcinoma of stomach (disorder)', 'gastric carcinoma', 'stomach, carcinoma', 'carcinomas gastric', 'cancer of the stomach', 'stomach cancer', 'gastric cancer, nos', 'carcinoma of stomach']"
Non-alcoholic fatty liver disease histology (other),[]
hormone measurement,"['hormone assay (qualifier value)', 'hormone assay', 'hormone measurement (procedure)', 'hormone measurement -retired-', 'hormone level test', 'hormone measurement', 'hormone assay (procedure)', 'assays hormone']"
alcohol drinking,"['alcohol consumption nos', 'consumption alcohol', 'ai - alcohol intake', 'ethanol intake', 'alcohol consumption nos (observable entity)', 'alcohol ingestion', 'alcohol uses', 'drinking (alcohol)', 'alcohol; use', 'etoh use', 'alcohol use (diagnosis)', 'alcohol drinking', 'alcohol quantity/frequency', 'alcohol use', 'drinking alcohol', 'alcohol intake (observable entity)', 'alcohol intake', 'use; alcohol', 'alcohol consumption', 'alcohol product use', 'drinking, alcohol', 'drinking', 'alcoholic beverage consumption', 'drink alcohol', 'alcoholic drink intake', 'consumption, alcohol', 'alcohol consumption nos (finding)', 'intake alcohol', 'etoh - alcohol intake', 'alcohol users', 'alcoholic beverage drinker', 'current drinker of alcohol (finding)', 'current drinker (life style)', 'drink alcohol', 'alcoholic beverage drinker, nos', 'current drinker of alcohol', 'alcohol drinks', 'alcohol drinking', 'drinks alcohol', 'alcohol drink', 'alcohol user', 'drinker, alcoholic beverage', 'current drinker']"
Nodular sclerosis Hodgkin lymphoma,"['hodgkin lymphoma, nodular sclerosis', ""hodgkin's disease with nodular sclerosis"", ""hodgkin's disease, nodular sclerosis of unspecified site (disorder)"", ""nodular sclerosing hodgkin's disease (diagnosis)"", 'lymphoma hodgkin nodular sclerosis', ""[m]hodgkin's disease, nodular sclerosis nos"", 'hodgkin disease, nodular sclerosis', ""hodgkin's disease, nodular sclerosis nos"", ""hodgkin's disease nodular sclerosis nos"", ""hodgkin's disease, nodular sclerosis nos (disorder)"", ""nodular sclerosis hodgkin's lymphoma"", ""hodgkin's,nodular scler.nos"", 'nshl', ""disease; hodgkin's, nodular sclerosis"", ""hodgkin's disease, nodular sclerosis (disorder)"", 'nodular sclerosis', ""hodgkin's nodular sclerosis"", 'nshd', 'nodular sclerosis hodgkin lymphoma', 'hodgkin; nodular sclerosis', 'nschl', ""hodgkin's disease, nodular sclerosis"", ""hodgkin's nodular scler. nos"", ""[m]hodgkin's,nodular scler.nos"", ""hodgkin's disease, nodular sclerosis, nos"", ""hodgkin's disease nodular sclerosis stage unspecified"", ""hodgkin's disease, nodular sclerosis of unspecified site"", 'hodgkin lymphoma, nodular sclerosis (morphologic abnormality)', ""[m]hodgkin's disease, nodular sclerosis nos (morphologic abnormality)"", ""nodular sclerosis hodgkin's disease"", ""nodular sclerosing hodgkin's disease"", 'nodular sclerosis classical hodgkin lymphoma', ""hodgkin's disease nodular sclerosis"", ""hodgkin's disease, nodular sclerosis (clinical)"", 'classical hodgkin lymphoma, nodular sclerosis', ""hodgkin's nod.scl. unspec site""]"
Brain connectivity,[]
Follicular lymphoma,"['[m]giant follicular lymphoma', 'malignant lymphoma, nodular', ""follicular non-hodgkin's lymphoma (disorder)"", 'lymphoma follicular', 'brill symmers disease', 'nodular lymphocytic lymphoma', 'giant follicular lymphosarcoma', ""[m]brill - symmers' disease"", 'brill-symmers', '[m]malig.lymphoma, nodular nos', 'lymphomas, giant follicular', '(nodular lymphoma: brill-symmers disease) or (reticulosarcoma - follicular or nodular) (disorder)', 'nodular malignant lymphoma (diagnosis)', ""follicular non-hodgkin's lymphoma, unspecified"", 'brill-symmers disease', 'reticulosarcoma - follicular or nodular', 'follicular lymphoma', 'lymphoma, follicular centre cell', 'follicular lymphoma nos', 'lymphosarcoma; follicular', 'follicular lymphomas, giant', 'lymphoma, follicular, malignant', 'follicular lymphosarcoma', 'follicular lymphoma, giant', 'nodular; lymphoma, lymphocytic', '[m]mal.lym,centr-blas/cyt,foll', 'malignant lymphoma, centroblastic-centrocytic, follicular -retired-', 'follic lymphoma', 'malignant lymphoma, follicle center, follicular', 'm lyoma,centrbl-centrcyt,foll', 'malignant lymphoma, follicle center', 'lymphocytic; lymphoma, nodular', 'lymphoma; nodular', '[m]malignant lymphoma, centroblastic-centrocytic, follicular (morphologic abnormality)', 'malignant lymphoma, nodular, nos', ""follicular lymphoma: [non-hodgkin's] or [nos] (disorder)"", 'malignant lymphoma, centroblastic-centrocytic, follicular', 'follicular low grade b-cell lymphoma (disorder)', 'lymphomas, nodular', 'nodular lymphoma (disorder)', '[m]nodular lymphosarcoma nos', 'follicular lymphoma (morphologic abnormality)', 'follicle center lymphoma', ""brill-symmers' disease"", ""follicular [nodular] non-hodgkin's lymphoma"", 'malignant lymphoma, follicular, nos', 'malignant lymphoma, follicular nos', 'nodular; lymphoma', ""[m]malignant lymphoma, nodular nos (& [brill - symmers' disease])"", 'foll low grade b-cell lymphom', 'nodular lymphoma-unspec. site', 'lymphosarcoma follicular', 'nodular malignant lymphoma', 'follicular; germinoblastoma', ""follicular lymphoma: [non-hodgkin's] or [nos]"", 'follic lymphoma giant', 'follicular centre cell lymphoma', 'nodular (follicular) lymphoma', 'giant follic lymphoma', 'lymphoma follic', '[m]malignant lymphoma, nodular nos', 'follicular lymphomas', 'nodular lymphosarcoma (diagnosis)', 'malignant lymphoma, follicular', 'follicular lymphoma, unspecified', 'lymphoma; follicular', ""follicular non-hodgkin's lymph"", 'giant follicular lymphomas', 'malignant lymphoma, nodular nos', 'nodular lymphosarcoma', 'lymphoma, giant follicular', 'malignant lymphoma, lymphocytic, nodular, nos', 'lymphoma, follicular [disease/finding]', ""[m]malignant lymphoma, nodular nos (& [brill - symmers' disease]) (disorder)"", 'follicular low grade b-cell lymphoma', 'lymphoma; nodular, lymphocytic', 'disease, brill-symmers', 'follicular lymphoma (diagnosis)', 'follicular non-hodgkin lymphoma', 'lymphoma; lymphocytic, nodular', ""follicular non-hodgkin's lymphoma"", 'giant follicular lymphosarcoma (diagnosis)', 'malignant lymphoma, lymphocytic, nodular', 'follicular; lymphosarcoma', 'nodular lymphoma of unspecified site (disorder)', 'germinoblastoma; follicular', 'lymphoma, nodular', '[m]follicular lymphosarcoma nos', ""brill - symmers' disease"", '[m]malignant lymphoma, centroblastic-centrocytic, follicular', 'nodular and follicular lymphomas', '[m]malignant lymphoma, nodular nos (morphologic abnormality)', 'malignant lymphoma, centroblastic-centrocytic, follicular (disorder)', 'giant follicular lymphoma', 'nodular lymphomas', 'malignant lymphoma, follicle centre', 'lymphomas, follicular', 'brill symmers dis', 'nodular lymphoma (brill - symmers disease)', 'lymphoma giant follic', 'nodular lymphoma of unspecified site', 'malignant lymphoma, follicle centre, follicular', 'germinoblastoma, follicular', 'nodular lymphoma nos', 'malig.lymphoma, nodular nos', 'nodular lymphoma', 'malignant lymphoma, centroblastic-centrocytic, follicular (morphologic abnormality)', 'malignant neoplasm nodular lymphoma follicular', '(nodular lymphoma: brill-symmers disease) or (reticulosarcoma - follicular or nodular)', 'lymphocytic lymphoma, nodular', 'mal.lym,centr-blas/cyt,foll', 'lymphoma, follicular', 'nodular lymphoma nos (disorder)']"
Leishmaniasis (visceral),[]
Coffee consumption,[]
insulin sensitivity measurement,[]
Age-related macular degeneration (CNV vs. GA),[]
blood sedimentation,"['sedimentation blood test', 'sedimentation, erythrocyte', 'erythrocyte sedimentation (observable entity)', 'sedimentation, blood', 'sedimentation blood', 'blood sedimentation test', 'erythrocyte sedimentation', 'blood sedimentation']"
psoriasis,"['psoriasis', 'psoriasis [disease/finding]', 'psoriasis nos (disorder)', 'psoriasis, unspecified', 'psoriases', 'psoriasis (diagnosis)', 'psoriasis nos', 'psoriasis (disorder)', 'psoriasis unspecified', 'psoriasi', 'psoriasis, nos', 'psoriasis unspecified (disorder)']"
Immune reponse to smallpox (secreted IL-1beta),[]
Waist-hip ratio,"['hip ratios waist', 'waist/hip ratio (physical finding)', 'waist to hip ratio', 'waist/hip ratio', 'hip waist ratio', 'waist-to-hip ratios', 'hips ratio waist', 'waist-hip ratio', 'hip ratio waist', 'ratios, waist-hip', 'ratios, waist-to-hip', 'waist hip ratio', 'ratio, waist-to-hip', 'waist-to-hip ratio', 'ratio, waist-hip', 'waist-hip ratios', 'waist/hip ratio (observable entity)']"
White matter hyperintensity burden,[]
Uterine fibroids,"['fibroma, uterine', 'fibroids, uterine', 'fibromyoma;uterus', 'leiomyoma of uterine body', 'leiomyoma of body of uterus', 'body of uterus leiomyoma', 'leiomyoma of uterus, unspecified', 'uterine fibroid (disorder)', 'leiomyoma, uterine', 'uterus, myoma', 'fibromyoma', 'fibroid of corpus uteri', 'uterine leiomyomata', 'fibroid of body of uterus', 'corpus uteri leiomyoma', 'tumor of uterine muscle', 'fibroids', 'myofibroma', 'fibroid of the corpus uteri', 'body of uterus fibroid', 'uterine leiomyoma, nos', 'fibromyoma of the uterus', 'ul', 'myoma;uterus', 'fibroid of uterine body', 'uterus fibroid', 'fibroid of uterine corpus', 'fibroid of the uterine body', 'corpus uteri fibroid', 'uterine leiomyomas, benign', 'fibroid;uterus', 'leiomyoma', 'leiomyoma of the uterine corpus', 'uterine myoma', 'uterus, leiomyoma', 'leiomyoma of uterus', 'leiomyoma of the body of uterus', 'uterine fibromas', 'fibroleiomyoma', 'uterus, fibroids', 'uterus, fibroid', 'fibromyoma; uterus', 'fibroid of the body of uterus', 'fibroid of the uterine corpus', 'uterine corpus fibroid', 'uterine leiomyoma nos', 'leiomyoma; uterus', 'uterine leiomyoma', 'uterus; leiomyoma', 'leiomyoma of the uterine body', 'uterus fibroma', 'uterus fibroids', 'uterus; fibromyoma', 'uterus, fibromyoma', 'benign leiomyoma of uterus', 'uterine leiomyoma - fibroids', 'leiomyoma, no icd-o subtype (morphologic abnormality)', 'leiomyoma, nos', 'fibromyoma uterus', 'uterine corpus leiomyoma', 'uterine fibroid', 'uterine fibroma', 'uterine fibroids', 'uterine leiomyoma nos (disorder)', 'uterine body leiomyoma', 'fibroid uterus', 'leiomyofibroma', 'benign leiomyoma of uterus (diagnosis)', 'leiomyoma of corpus uteri', 'leiomyoma, no icd-o subtype', 'uterus leiomyoma', 'leiomyomas', 'uterine body fibroid', 'leiomyoma of the corpus uteri', 'fibromas, uterine', 'leiomyoma of uterine corpus', 'uterine fibromyoma', 'uterine leiomyoma (disorder)', 'fibroid, uterine', 'uterus myoma', 'uterine corpus leiomyomata']"
Body mass in chronic obstructive pulmonary disease,[]
esophageal carcinoma,"['oesophageal carcinoma', 'carcinoma of oesophagus', 'esophageal cancer, carcinoma', 'carcinoma esophageal', 'carcinoma esophagus', 'carcinoma;oesophagus', 'carcinoma of oesophagus nos', 'carcinoma of oesophagus (disorder)', 'esophagus, carcinoma', 'carcinoma of esophagus (diagnosis)', 'esophageal carcinoma nos', 'carcinoma oesophagus', 'carcinoma of esophagus nos', 'esophageal cancer', 'carcinoma of the esophagus', 'esophageal carcinoma', 'oesophageal carcinoma nos', 'carcinoma of esophagus (disorder)', 'esophageal cancer, nos', 'esophagus carcinoma', 'carcinoma esophageal cancer', 'cancer of esophagus', 'cancer of oesophagus', 'carcinoma;esophagus', 'carcinoma of the oesophagus', 'cancer of the esophagus', 'carcinoma of esophagus']"
Crohn's disease,"[""crohn's ileitis"", ""regional enteritis - crohn's disease"", ""crohn's regional enteritis"", 'crohn s', 'crohn dis', 're - regional enteritis', 'inflammatory bowel disease 1', ""cd - crohn's disease"", 'crohn disease [disease/finding]', 'disease crohns', 'granulomatous enteritis, nos', 'crohn disease', 'regional enteritis - crohn', 'enteritis regional', ""crohn's diseases"", ""crohn's enteritis"", 'disease crohn', 'regional enteritis', ""crohn's disease [regional enteritis]"", 'eleocolitis', 'disease;crohns', 'ibd1', ""crohn's"", 'crohns dis', 'granulomatous enteritis', 'cicatrizing enterocolitis', 'crohns diseases', ""crohn's disease, unspecified"", 'enteritis (regional)', 'crohn diseases', 'regional enterocolitis', 'inflammatory bowel disease, regional enteritis', ""crohns's"", 'crohns disease', 'regional enteritis, nos', ""crohn's disease, nos"", ""crohn's disease (disorder)"", ""crohn's disease"", 'crohn s disease', ""crohn's disease (diagnosis)"", ""crohns's disease"", ""crohn's disease nos"", 'crohn', ""disease crohn's""]"
atrial fibrillation,"['atrial fibrillation', 'atrial fibrillation adverse event', 'af - atrial fibrillation', 'af', 'afib', 'fibrillation; atrial or auricular', 'fibrillations, atrial', 'atrium; fibrillation', 'atrial fibrillation [disease/finding]', 'auricular; fibrillation', 'fibrillation, atrial', 'atrial fibrillation', 'a fib', 'atrial fibrillation (disorder)', 'auricular fibrillation', 'fibrillation - atrial', 'fibrillations, auricular', 'familial atrial fibrillation', 'fibrillation atrial', 'auricular fibrillations', 'atrial fibrillation (af)', 'atrial fibrillations', 'atrial fibrillation (diagnosis)', 'fibrillation, auricular', 'fibrillation;atrial', 'atrial fibrillation', 'ever told you have or had atrial fibrillation:finding:point in time:^patient:ordinal', 'ever told you have or had atrial fibrillation:find:pt:^patient:ord', 'ever told you have or had atrial fibrillation']"
Electroencephalographic traits in alcoholism,[]
response to quetiapine,['response to quetiapine']
systemic scleroderma,"['scleroderma syndrome (disorder)', 'progressive system sclerosis', 'sclerosis; systemic, progressive', 'pss (progressive systemic sclerosis)', 'systemic sclerosis (disorder)', 'sclerodermas', 'scleroderma, diffuse', 'sclerosis, systemic', 'systemic sclerosis', 'pss - progressive syst scleros', 'system; sclerosis', 'progressive scleroderma', 'sclerosis; systemic', 'scleroderma syndrome', 'systemic; sclerosis, progressive', 'ss - systemic sclerosis', 'systemic scleroderma', 'diffuse scleroderma', 'progressive systemic sclerosis', 'pss', 'sclerosis; system', 'scleroderma;progressive', 'scleroderma, systemic [disease/finding]', 'pss - progressive systemic sclerosis', 'scleroderma', 'systemic; sclerosis', 'systemic sclerosis, unspecified', 'diffuse sclerosis', 'scleroderma, systemic']"
Black vs. blond hair color,[]
Hematological parameters,[]
Handedness in dyslexia,[]
Psoriatic arthritis,"['psoriasis; arthropathic (manifestation)', 'arthritis, psoriatic [disease/finding]', 'psoriasis arthropathy', 'arthropathy;psoriatic', 'arthropathic; psoriasis (etiology)', 'psoriasis arthropathic', 'arthritis psoriatics', 'arthropathic; psoriasis (manifestation)', 'psoriasis with arthropathy', 'arthropathies, psoriatic', 'arthropathy, psoriatic', 'psoriatic arthropathy', 'arthritic psoriasis', 'psoriasis; arthropathic (etiology)', 'arthritis psoriatic', 'psoriasis, arthropathic', 'psoriasis, arthritic', 'psoriatic arthropathy nos (disorder)', 'arthropathic psoriasis, unspecified', 'psoriatic arthritis (disorder)', 'arthritis, psoriatic', 'pa - psoriatic arthritis', 'psoriasis arthropathica', 'psoriatic arthropathy nos', 'arthropathy psoriatic', 'psoriatic arthropathies', 'arthropathic psoriasis', 'psoriatic arthritis', 'psa - psoriatic arthritis', 'psoriasis with arthropathy (disorder)', 'psoriatic arthropathy (diagnosis)', 'arthritis;psoriatic', 'arthropathic psoriasis (diagnosis)']"
